,Date,Value
199,08.09.2014,2123517371.09
200,09.09.2014,2134095924.75
201,10.09.2014,2140800911.69
202,11.09.2014,2150769742.38
203,14.09.2014,2153243865.78
204,15.09.2014,2155112296.28
205,16.09.2014,2175262080.3
206,17.09.2014,2177865193.59
207,18.09.2014,2171720026.81
208,21.09.2014,2176830402.96
209,22.09.2014,2148869685.46
210,23.09.2014,2163994916.66
211,24.09.2014,2180080231.52
212,25.09.2014,2176039353.91
213,28.09.2014,2179270639.07
214,29.09.2014,2165371844.09
215,30.09.2014,2183062096.81
216,01.10.2014,2187655390.89
217,02.10.2014,2182097889.97
218,05.10.2014,2186822940.76
219,06.10.2014,2188412925.78
220,07.10.2014,2195877323.93
221,08.10.2014,2202165351.78
222,09.10.2014,2216846744.33
223,12.10.2014,2224912162.36
224,13.10.2014,2210674766.72
225,14.10.2014,2226301328.75
226,15.10.2014,2227139691.38
227,16.10.2014,2219203318.79
228,19.10.2014,2219663647.26
229,20.10.2014,2212719357.67
230,21.10.2014,2211975919.66
231,22.10.2014,2168970518.32
232,23.10.2014,2145795198.48
233,26.10.2014,2147911971.31
234,27.10.2014,2142234916.25
235,28.10.2014,2127921181.22
236,29.10.2014,2132379807.38
237,30.10.2014,2122791383.77
238,04.11.2014,2132185503.64
239,05.11.2014,2124107616.41
240,06.11.2014,2108411496.92
241,09.11.2014,2099487890.4
242,10.11.2014,2112141629.45
243,11.11.2014,2111934335.62
244,12.11.2014,2101858923.85
245,13.11.2014,2107126074.62
246,16.11.2014,2074346273.63
247,17.11.2014,2072985241.77
248,18.11.2014,2073852411.59
249,19.11.2014,2068366059.71
250,20.11.2014,2062105650.95
251,23.11.2014,2093470315.82
252,24.11.2014,2128325193.81
253,25.11.2014,2096098103.99
254,26.11.2014,2068616878.23
255,27.11.2014,2066583556.67
256,30.11.2014,2061173880.16
257,01.12.2014,2056937500.31
258,02.12.2014,2048577710.53
259,03.12.2014,1967982501.45
260,04.12.2014,2017943752.58
261,07.12.2014,1933401687.42
262,08.12.2014,1913999925.23
263,09.12.2014,1890261501.03
264,10.12.2014,1871111001.3
265,11.12.2014,1831768489.12
266,14.12.2014,1795894955.84
267,15.12.2014,1726711723.12
268,16.12.2014,1688481898.73
269,17.12.2014,1616476324.34
270,18.12.2014,1673855941.62
271,21.12.2014,1573784783.18
272,22.12.2014,1542761448.1
273,23.12.2014,1459815289.11
274,24.12.2014,1404774786.49
275,25.12.2014,1366582235.1
276,28.12.2014,1394661872.87
277,29.12.2014,1370415286.46
278,30.12.2014,1372941481.93
279,11.01.2015,1344874566.68
280,12.01.2015,1346383845.92
281,13.01.2015,1345810641.12
282,14.01.2015,1349402694.86
283,15.01.2015,1337780431.57
284,18.01.2015,1350491765.83
285,19.01.2015,1354489372.64
286,20.01.2015,1374990418.82
287,21.01.2015,1379929861.18
288,22.01.2015,1395689447.99
289,25.01.2015,1427249165.31
290,26.01.2015,1382994946.66
291,27.01.2015,1380879569.35
292,28.01.2015,1445919075.5
293,29.01.2015,1436931479.05
294,01.02.2015,1436106788.45
295,02.02.2015,1400243065.11
296,03.02.2015,1453253062.57
297,04.02.2015,1443210786.01
298,05.02.2015,1370848363.69
299,08.02.2015,1423571776.28
300,09.02.2015,1387249752.47
301,10.02.2015,1432366419.16
302,11.02.2015,1400943246.12
303,12.02.2015,1475064333.42
304,15.02.2015,1482573922.89
305,16.02.2015,1481382670.39
306,17.02.2015,1482818181.32
307,18.02.2015,1501052796.59
308,19.02.2015,1494992432.21
309,23.02.2015,1482807694.12
310,24.02.2015,1481488494.74
311,25.02.2015,1414435155.3
312,26.02.2015,1437241888.16
313,01.03.2015,1431861527.08
314,02.03.2015,1433827630.4
315,03.03.2015,1433995155.37
316,04.03.2015,1516290996.24
317,05.03.2015,1505730516.3
318,09.03.2015,1515252528.39
319,10.03.2015,1416012738.58
320,11.03.2015,1407439718.23
321,12.03.2015,1428240079.38
322,15.03.2015,1422281198.67
323,16.03.2015,1409127455.99
324,17.03.2015,1479322047.26
325,18.03.2015,1500643575.55
326,19.03.2015,1516564250.04
327,22.03.2015,1508045837.27
328,23.03.2015,1519746244.2
329,24.03.2015,1524563051.09
330,25.03.2015,1542544870.39
331,26.03.2015,1536559444.63
332,29.03.2015,1395931454.28
333,30.03.2015,1408246732.21
334,31.03.2015,1507314565.16
335,01.04.2015,1410369731.69
336,02.04.2015,1501951090.52
337,04.04.2015,1501951090.52
338,05.04.2015,1507095569.15
339,06.04.2015,1486624534.32
340,07.04.2015,1509603679.33
341,08.04.2015,1517893938.32
342,09.04.2015,1517443654.58
343,12.04.2015,1508788411.9
344,13.04.2015,1408045177.4
345,14.04.2015,1598031637.41
346,15.04.2015,1601875809.95
347,16.04.2015,1607537693.75
348,19.04.2015,1588240657.49
349,20.04.2015,1492098895.1
350,21.04.2015,1484787487.1
351,22.04.2015,1594853009.46
352,23.04.2015,1596080541.8
353,26.04.2015,1587264304.39
354,27.04.2015,1474014048.13
355,28.04.2015,1465343104.25
356,29.04.2015,1564710410.81
357,03.05.2015,1564710410.81
358,04.05.2015,1573792204.42
359,05.05.2015,1536721487.62
360,06.05.2015,1602376766.26
361,07.05.2015,1528222859.93
362,11.05.2015,1576731346.45
363,12.05.2015,1564463987.6
364,13.05.2015,1627536925.81
365,14.05.2015,1637771073.37
366,17.05.2015,1627454856.08
367,18.05.2015,1674174150.54
368,19.05.2015,1681528823.38
369,20.05.2015,1581792439.35
370,21.05.2015,1616462700.71
371,24.05.2015,1676955673.27
372,25.05.2015,1619305631.58
373,26.05.2015,1612128279.03
374,27.05.2015,1497252171.84
375,28.05.2015,1442397584.37
376,31.05.2015,1435718208.92
377,01.06.2015,1464573322.35
378,02.06.2015,1442365791.84
379,03.06.2015,1432658389.29
380,04.06.2015,1403891382.67
381,07.06.2015,1384732258.53
382,08.06.2015,1468791224.4
383,09.06.2015,1463052049.6
384,10.06.2015,1501971674.52
385,14.06.2015,1505785227.4
386,15.06.2015,1428391481.04
387,16.06.2015,1456192282.1
388,17.06.2015,1450261281.27
389,18.06.2015,1452797765.46
390,21.06.2015,1470648082.12
391,22.06.2015,1446095820.08
392,23.06.2015,1437023446.95
393,24.06.2015,1523841378.04
394,25.06.2015,1492139072.5
395,28.06.2015,1490486360.65
396,29.06.2015,1510162370.47
397,30.06.2015,1444687445.76
398,01.07.2015,1510817989.91
399,02.07.2015,1455594665.35
