,Date,Value
0,17.11.2013,2358.41
1,18.11.2013,2359.98
2,19.11.2013,2360.51
3,20.11.2013,2361.61
4,21.11.2013,2358.11
5,24.11.2013,2356.7
6,25.11.2013,2356.6
7,26.11.2013,2357.6
8,27.11.2013,2359.18
9,28.11.2013,2361.86
10,01.12.2013,2362.33
11,02.12.2013,2362.07
12,03.12.2013,2362.62
13,04.12.2013,2361.46
14,05.12.2013,2360.7
15,08.12.2013,2363.38
16,09.12.2013,2368.01
17,10.12.2013,2368.53
18,11.12.2013,2367.44
19,12.12.2013,2368.62
20,15.12.2013,2370.21
21,16.12.2013,2370.68
22,17.12.2013,2365.89
23,18.12.2013,2365.07
24,19.12.2013,2366.39
25,22.12.2013,2368.78
26,23.12.2013,2367.37
27,24.12.2013,2371.57
28,25.12.2013,2377.51
29,26.12.2013,2380.74
30,29.12.2013,2391.95
31,30.12.2013,2392.55
32,08.01.2014,2398.75
33,09.01.2014,2397.37
34,12.01.2014,2393.83
35,13.01.2014,2396.0
36,14.01.2014,2407.71
37,15.01.2014,2409.3
38,16.01.2014,2409.71
39,19.01.2014,2410.59
40,20.01.2014,2413.55
41,21.01.2014,2412.89
42,22.01.2014,2416.45
43,23.01.2014,2415.77
44,26.01.2014,2417.68
45,27.01.2014,2418.98
46,28.01.2014,2418.7
47,29.01.2014,2416.14
48,30.01.2014,2420.12
49,02.02.2014,2423.97
50,03.02.2014,2423.26
51,04.02.2014,2421.42
52,05.02.2014,2423.73
53,06.02.2014,2423.47
54,09.02.2014,2421.66
55,10.02.2014,2420.14
56,11.02.2014,2421.32
57,12.02.2014,2421.55
58,13.02.2014,2416.74
59,16.02.2014,2426.88
60,17.02.2014,2428.56
61,18.02.2014,2427.18
62,19.02.2014,2420.12
63,20.02.2014,2429.17
64,23.02.2014,2425.37
65,24.02.2014,2425.22
66,25.02.2014,2425.04
67,26.02.2014,2426.63
68,27.02.2014,2434.62
69,02.03.2014,2427.36
70,03.03.2014,2426.5
71,04.03.2014,2431.5
72,05.03.2014,2432.74
73,06.03.2014,2429.13
74,10.03.2014,2428.45
75,11.03.2014,2424.81
76,12.03.2014,2422.08
77,13.03.2014,2412.29
78,16.03.2014,2412.8
79,17.03.2014,2416.14
80,18.03.2014,2408.56
81,19.03.2014,2405.46
82,20.03.2014,2404.66
83,23.03.2014,2414.26
84,24.03.2014,2406.26
85,25.03.2014,2413.34
86,26.03.2014,2413.25
87,27.03.2014,2410.28
88,30.03.2014,2415.01
89,31.03.2014,2417.16
90,01.04.2014,2417.84
91,02.04.2014,2420.54
92,03.04.2014,2418.3
93,06.04.2014,2418.8
94,07.04.2014,2418.46
95,08.04.2014,2422.09
96,09.04.2014,2421.44
97,10.04.2014,2423.02
98,13.04.2014,2417.55
99,14.04.2014,2416.24
100,15.04.2014,2414.9
101,16.04.2014,2416.37
102,17.04.2014,2419.2
103,20.04.2014,2421.32
104,21.04.2014,2423.86
105,22.04.2014,2426.37
106,23.04.2014,2426.04
107,24.04.2014,2427.65
108,27.04.2014,2430.53
109,28.04.2014,2431.84
110,29.04.2014,2435.0
111,04.05.2014,2440.0
112,05.05.2014,2440.55
113,06.05.2014,2438.53
114,07.05.2014,2440.76
115,11.05.2014,2445.36
116,12.05.2014,2447.65
117,13.05.2014,2447.2
118,14.05.2014,2447.55
119,15.05.2014,2441.65
120,18.05.2014,2444.4
121,19.05.2014,2445.77
122,20.05.2014,2447.95
123,21.05.2014,2446.66
124,22.05.2014,2447.75
125,25.05.2014,2451.55
126,26.05.2014,2450.73
127,27.05.2014,2451.52
128,28.05.2014,2452.52
129,29.05.2014,2456.17
130,01.06.2014,2459.17
131,02.06.2014,2460.35
132,03.06.2014,2460.87
133,04.06.2014,2464.43
134,05.06.2014,2462.55
135,08.06.2014,2463.54
136,09.06.2014,2462.49
137,10.06.2014,2463.22
138,15.06.2014,2464.48
139,16.06.2014,2466.36
140,17.06.2014,2467.4
141,18.06.2014,2471.81
142,19.06.2014,2473.99
143,22.06.2014,2476.47
144,23.06.2014,2480.48
145,24.06.2014,2481.69
146,25.06.2014,2481.49
147,26.06.2014,2482.98
148,29.06.2014,2481.94
149,30.06.2014,2483.53
150,01.07.2014,2482.09
151,02.07.2014,2482.93
152,03.07.2014,2497.19
153,06.07.2014,2499.11
154,07.07.2014,2502.7
155,08.07.2014,2504.98
156,09.07.2014,2506.6
157,10.07.2014,2507.11
158,13.07.2014,2509.22
159,14.07.2014,2507.57
160,15.07.2014,2506.55
161,16.07.2014,2500.97
162,17.07.2014,2503.31
163,20.07.2014,2503.15
164,21.07.2014,2504.82
165,22.07.2014,2508.88
166,23.07.2014,2508.92
167,24.07.2014,2506.33
168,27.07.2014,2504.75
169,28.07.2014,2503.43
170,29.07.2014,2505.45
171,30.07.2014,2506.94
172,31.07.2014,2508.4
173,03.08.2014,2510.69
174,04.08.2014,2511.06
175,05.08.2014,2509.97
176,06.08.2014,2509.76
177,07.08.2014,2507.25
178,10.08.2014,2508.8
179,11.08.2014,2509.92
180,12.08.2014,2510.68
181,13.08.2014,2512.27
182,14.08.2014,2511.95
183,17.08.2014,2513.81
